"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233777","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","undefined (NaN-NaN)","Elected MP","21-Aug-2026","DARSH BUILDCON","Payment In-Progress","799146"
"2","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233878","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","undefined (NaN-NaN)","Elected MP","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","832080"
"3","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18218/2025-2026/233781","GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA)","undefined (NaN-NaN)","Elected MP","04-Aug-2026","DARSH BUILDCON","Payment In-Progress","498309"
"4","Gujarat","Purchase of IT systems, including hardware and software for educational purposes","WS/	 MP575/2026-2027/291463","NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA)","undefined (NaN-NaN)","Elected MP","29-Aug-2026","BHARGAV SUMANTRAI PATEL","Payment In-Progress","497845"
"5","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272770","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","undefined (NaN-NaN)","Elected MP","25-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"6","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","undefined (NaN-NaN)","Elected MP","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"7","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/157040","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","undefined (NaN-NaN)","Elected MP","30-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","5000"
"8","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP300/2025-2026/257871","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","undefined (NaN-NaN)","Elected MP","31-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"9","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/157041","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","undefined (NaN-NaN)","Elected MP","31-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","5000"
"10","Odisha","Construction of community centers and community halls","WS/MP300/2025-2026/226393","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","undefined (NaN-NaN)","Elected MP","25-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"11","Odisha","Construction of community centers and community halls","WS/MP300/2026-2027/226384","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","undefined (NaN-NaN)","Elected MP","29-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"12","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","undefined (NaN-NaN)","Elected MP","17-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"13","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/185341","PURI(DISTRICT COLLECTOR PURI_IDA)","undefined (NaN-NaN)","Elected MP","28-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"14","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173840","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","undefined (NaN-NaN)","Elected MP","18-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","75000"
"15","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP641/2025-2026/220322","BARWANI(DISTRICT COLLECTOR BADWANI_IDA)","undefined (NaN-NaN)","Elected MP","31-Aug-2026","NAGAR PALIKA PARISHAD BARWANI","Payment In-Progress","99254"
"16","Odisha","Construction of community centers and community halls","WS/MP370/2024-2025/145537","Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA)","undefined (NaN-NaN)","Elected MP","31-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2000"
"17","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214637","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","undefined (NaN-NaN)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"18","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214638","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","undefined (NaN-NaN)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"19","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214639","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","undefined (NaN-NaN)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"20","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214742","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","undefined (NaN-NaN)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"21","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214643","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","undefined (NaN-NaN)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"22","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214767","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","undefined (NaN-NaN)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"23","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214751","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","undefined (NaN-NaN)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
"24","Uttar Pradesh","Lighting of public spaces","WS/MP18239/2025-2026/214776","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","undefined (NaN-NaN)","Elected MP","20-Aug-2026","R G SUPLLIER","Payment In-Progress","36159"
